,HORA,ABR,PCG1,PCG2,PCG3,PCG4,PCG5,PCG6,PCG7,PCG8,PCG9,PHC1,PHC2,AMY1,AMY2,PBP,CEN,EEC,EEC20,EOL,PNI1,PNI2,GSR,HPA1,HPA2,MTR,NSL,PCA1,PCA2,PCF1,PCF2,PEN3,PEN4,PHL1,PHL2,PLB1,PLB2,PMG3,PMG4,PMG5,PMT1,PMT2,PMT3,TPC,LNI-L9040,SND-L9090,AMY-L9030,TCPI-L9150,Demanda,Date
0,0,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,204 255 204,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,166 202 240,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
1,1,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,204 255 204,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,166 202 240,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
2,2,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,255 180 118,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,166 202 240,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
3,3,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,255 180 118,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,0 0 0,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
4,4,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,255 180 118,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,0 0 0,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
5,5,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,255 180 118,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,0 0 0,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
6,6,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,255 180 118,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,0 0 0,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
7,7,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,255 180 118,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,0 0 0,204 153 204,204 153 204,255 255 153,166 202 240,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
8,8,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,204 255 204,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,0 0 0,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
9,9,255 180 118,166 202 240,0 0 0,166 202 240,0 0 0,0 0 0,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,166 202 240,204 255 204,204 255 204,204 255 204,204 153 204,0 0 0,0 0 0,204 255 204,0 0 0,1 153 255,255 255 153,166 202 240,166 202 240,0 0 0,166 202 240,204 153 204,204 153 204,255 255 153,255 255 153,204 255 204,204 255 204,,,0 0 0,0 0 0,255 255 153,0 0 0,0 0 0,204 255 204,255 255 153,204 255 204,204 153 204,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,1/3/2015
